title,type,lat,lon
Destin-FWB Airport,Airport,30.49513034,-86.54788972
Pensacola International Airport,Airport,30.4738226,-87.18614702
Ascension Sacred Heart,Hospital,30.47554084,-87.21254024
North Okaloosa Medical Center,Hospital,30.7453766,-86.55853275
Ascension Sacred Heart,Hospital,30.37879907,-86.30035405
North Walton Medical Center,Hospital,30.66272216,-86.12182621
HCA Florida Twin Cities Hospital,Hospital,30.53822149,-86.49236148
Tallahassee Memorial Health,Hospital,30.225819,-85.88275008
Northwest Florida Beaches International Airport,Airport,30.36106781,-85.79924862
Andalusia Health,Hospital,31.31178342,-86.49413817
